	400_vs_60k_in_HPLM_fc	400_vs_60k_in_HPLM_p	400_vs_60k_in_DMEM_fc	400_vs_60k_in_DMEM_p	400_vs_60k_in_HPLM_15mM_Glucose_fc	400_vs_60k_in_HPLM_15mM_Glucose_p	400_vs_60k_in_DMEM_15mM_Glucose_fc	400_vs_60k_in_DMEM_15mM_Glucose_p	60k_HPLM_vs_DMEM_fc	60k_HPLM_vs_DMEM_p	400_HPLM_vs_DMEM_fc	400_HPLM_vs_DMEM_p	60k_HPLM_vs_DMEM_15mM_Glucose_fc	60k_HPLM_vs_DMEM_15mM_Glucose_p	400_HPLM_vs_DMEM_15mM_Glucose_fc	400_HPLM_vs_DMEM_15mM_Glucose_p
FUOM	-0.004819973391019753	0.8894743703037098	0.11008224937471997	0.07435864755149525	0.04371632264558875	0.30748299483002495	-0.03042419836668706	0.14766353958977232	0.08438839956144056	0.03306984541892648	-0.030513823204299163	0.5108504544335717	-0.05098215834564472	0.23481022816892577	0.02315836266663132	0.1367419802492293
VWA8	0.06700454170209996	0.028130908518125563	0.014752775405222856	0.4400590554912338	0.027789729335589153	0.08908459665563406	0.01005804298705931	0.5935103557133492	-0.018292830348004604	0.3774254221034402	0.03395893594887261	0.07764871440238769	-0.02448467799534331	0.12600539378719083	-0.006752991646813564	0.7129125956941607
SBNO1	0.06137531123992421	0.06659575878160802	-0.11024641948760677	0.034547097007527956	0.07283768431067748	0.14476900131003465	0.010737708805393606	0.4574108396508695	-0.12153102144445124	0.0014115607759019738	0.050090709283079765	0.20544441781777348	-0.1920845777331034	0.008252591501388948	-0.12998460222781927	0.039290716284684446
SBNO1	-0.004780657824345299	0.9153643747233811	0.0067745078492517045	0.6655417409482032	0.0697592805608591	0.4131704715717889	-0.0195581115202618	0.3127341502670807	-0.06716942745233456	0.005258319640860811	-0.07872459312593166	0.16598094260759516	-0.10814247147271976	0.2477486085932425	-0.01882507939159883	0.326808651445683
GTPBP10	0.03816138040703336	0.06141020792151224	0.05608799740691705	0.09465597667936636	-0.031204594506929938	0.37219640010643146	0.014816925613650929	0.40065085442756	-0.043407612706243555	0.15722198099863524	-0.06133422970612736	0.010693007933384614	-0.05941497495621708	0.12648668020143009	-0.10543649507679785	0.01284730004799644
WDR91	-0.005124068546592315	0.89517036983995	-0.04124943929931838	0.4092266460840084	-0.10519154788746356	0.2828184550905883	0.010130274698345603	0.8520599834963893	-0.005669340076468846	0.890658382672983	0.030456030676257267	0.5187780189426143	0.06063706650086247	0.2141950093298314	-0.05468475608494674	0.5564186924174421
POTEF	0.12796865678233804	0.09939997102263008	0.18700014563963302	0.0706040384567257	0.0028892577116773764	0.9612100738890375	-0.013518730009782279	0.706859296316019	-0.004860630970707058	0.9275582857799195	-0.06389211982800218	0.37112629745976733	-0.020227427888935362	0.7195594175283337	-0.0038194401674757125	0.9272227239483979
VPS37C	0.00819666141248751	0.8438300951869045	0.011631067787810045	0.8821367009212263	0.008753964970377615	0.7955084238904662	-0.0756919284276654	0.431177947201603	0.027452845558376352	0.1675587411588559	0.024018439183053714	0.7754039489851399	-0.0540214968676873	0.13832787177136074	0.0304243965303558	0.7158769678597139
TMEM189	0.039481536815231914	0.13432703244885916	0.033916257324837905	0.11892703629916956	-0.03982023802906469	0.04783539847401804	-0.005879687550340657	0.6751743429212644	-0.03410481221501244	0.13367793754369198	-0.028539532724618486	0.20965840631713922	0.003676465695517486	0.8219272040631378	-0.030264084783206666	0.06984267851127858
TRAPPC13	0.028052585868181462	0.7374336968082791	0.06686557330536122	0.25843000554374546	-0.14407718273805395	0.1215669815092721	-0.1492556309205305	0.1579564875255846	-0.05707621359932663	0.26393174154026827	-0.0958892010365062	0.3069631121567217	0.004643805961862009	0.9257030146689343	0.009822254144338537	0.9229150003529841
