	400_vs_60k_in_HPLM_fc	400_vs_60k_in_HPLM_p	400_vs_60k_in_DMEM_fc	400_vs_60k_in_DMEM_p	400_vs_60k_in_HPLM_15mM_Glucose_fc	400_vs_60k_in_HPLM_15mM_Glucose_p	400_vs_60k_in_DMEM_15mM_Glucose_fc	400_vs_60k_in_DMEM_15mM_Glucose_p	60k_HPLM_vs_DMEM_fc	60k_HPLM_vs_DMEM_p	400_HPLM_vs_DMEM_fc	400_HPLM_vs_DMEM_p	60k_HPLM_vs_DMEM_15mM_Glucose_fc	60k_HPLM_vs_DMEM_15mM_Glucose_p	400_HPLM_vs_DMEM_15mM_Glucose_fc	400_HPLM_vs_DMEM_15mM_Glucose_p
Creatine	0.336090906	0.003139334	0.602745186	0.025252262	0.40779278	0.003664354	0.854039708	1.44E-05	4.507691693	0.000750214	4.241037414	0.000550783	3.58136387	0.000308358	3.135116941	0.000818807
P-Creatine	0.957640075	0.00021449	1.341588912	0.004866769	1.029370873	0.002225161	1.716411985	2.08E-05	2.067305702	2.38E-06	1.683356865	9.22E-06	1.489615102	2.51E-07	0.80257399	0.00224211
Creatinine	0.59459786	9.44E-05	0.452448955	0.248209269	0.628932225	0.000826082	1.076388237	0.003687208	5.319198856	0.000490822	5.461347761	9.58E-05	3.883004777	0.000151223	3.435548765	0.000355969
Cytidine triphosphate	-0.002669129	0.995726424	0.557040563	0.173792159	-1.463149122	0.005687224	-5.165097488	0.010106271	2.060522374	0.099439922	1.500812682	0.061642995	-0.938552481	0.02894081	2.763395885	0.072222892
L-Cystine	2.412655795	0.001938519	2.127250564	0.000260389	2.182050692	0.001883576	2.534901258	0.000590922	-1.785539152	8.47E-05	-1.50013392	2.02E-05	-0.695620674	0.005186906	-1.048471241	8.46E-05
Cytosine	0.895940652	0.066496356	1.106770031	0.378540273	1.343732673	0.030787149	0.749692262	0.370384704	0.786471631	0.136390825	0.575642252	0.42238679	-0.071255251	0.880780827	0.52278516	0.350885306
Deoxyadenosine	-0.064598207	0.918860546	0.700788649	0.009987421	0.503774062	0.419269544	0.097620836	0.564676881	1.234876927	0.263609687	0.469490071	0.100824771	0.748609723	0.238073111	1.154762949	0.177269943
Deoxycytidine	0.177272053	0.042905226	0.753450001	0.000194808	0.342982096	0.110216886	0.530774095	0.06534388	1.418192286	0.000388481	0.842014338	0.002366349	1.354970871	0.001134592	1.167178872	0.016703481
Thymidine	0.512654855	0.001908316	0.759201722	0.027718318	0.575111546	0.028339826	0.560548636	0.070112982	0.843510174	6.22E-05	0.596963307	0.010623872	0.84212661	0.036869477	0.85668952	0.001188627
Deoxyuridine	1.074688781	0.00970848	1.576617782	0.004590915	1.148754105	0.023340051	1.411649824	0.01526641	0.539064922	0.006257089	0.037135921	0.7853881	0.699326677	0.145593538	0.436430957	0.137460474
"Fructose 1,6-bisphosphate"	-0.251395831	0.681185138	1.170158399	0.049002673	-2.339351263	0.005284786	-4.031394399	0.001646177	-0.741760511	0.176513546	-2.16331474	0.03282859	-1.24407601	0.000673848	0.447967125	0.448017909
Folic acid	1.188300558	0.000341955	1.319555438	0.002073701	1.106394715	0.000198094	1.318111266	0.003791221	-3.81784074	0.001929338	-3.94909562	0.002195508	-3.803687448	0.004174857	-4.015403998	0.003789748
D-Fructose	0.83962722	0.000490084	0.706005789	0.004147831	0.838992073	0.000546692	0.469355157	0.052112672	4.662635041	0.00107806	4.796256471	3.22E-05	4.383930677	0.000634931	4.753567593	0.000635745
Guanosine	-0.676163794	0.118503249	-0.491935665	0.114866884	0.439294235	0.051541338	0.124592573	0.7563231	0.682174695	0.128567821	0.497946566	0.18940469	1.158469147	0.011798157	1.473170809	0.002460308
Glucose-6-phosphate	-0.919778258	0.124170156	-1.216908684	0.004223345	-0.325118384	0.03707489	-1.091856907	0.004775611	0.756570703	0.159628301	1.053701128	0.003898846	0.40718838	0.021740026	1.173926903	0.00294498
Gamma-Aminobutyric acid	-0.526125983	0.027708155	-1.116184037	0.058115251	-0.651861719	0.050967359	-1.11691115	0.023947115	1.702036443	0.001982998	2.292094497	0.004230984	1.543372639	0.014367806	2.00842207	0.007385134
D-Galactose	0.527474731	0.006044224	0.884498187	0.000196737	0.407926447	0.004156595	0.687990041	0.000276699	-0.275091997	0.039333297	-0.632115454	2.65E-05	0.281916524	0.030270359	0.001852931	0.968300434
D-Gluconate	0.348776551	0.003511633	1.34595515	2.02E-05	0.784984908	0.003843626	1.633299795	0.020790264	1.042613511	0.000126637	0.045434912	0.2212542	1.911635102	0.014025987	1.063320216	0.001356447
N-Acetyl-D-glucosamine	0.100683036	0.584109332	0.721665663	0.060098067	1.075139558	0.004924121	1.17369992	0.002343731	0.656166655	0.047825638	0.035184028	0.861265038	0.856737573	0.010547938	0.758177211	0.007706034
N-acetyl-D-glucosamine 6-phosphate	-0.286374712	0.735012684	-2.096740917	0.001923993	-2.134969793	0.002441061	-0.790207287	0.216220534	-1.00658711	0.180765869	0.803779095	0.369237024	-0.860662028	0.113646321	-2.205424534	0.182141746
Glutamine	-0.676634798	0.035521245	0.209093988	0.268301697	-0.738663491	0.009465438	0.181417542	0.184077584	-1.206500269	0.000527485	-2.092229055	0.008024827	-1.152955906	0.000185392	-2.073036939	0.002727484
L-Glutamic acid	-0.078224431	0.403981985	-0.562798823	0.001560868	0.106397047	0.384791789	-0.531415789	0.010163129	0.846049043	0.000617583	1.330623435	0.003592875	0.455362029	0.04538827	1.093174866	0.000332634
Glycine	0.072098486	0.485092738	0.573899826	0.02088965	0.025832563	0.716608094	0.464463792	0.015542549	1.104135947	0.004117558	0.602334607	0.00654878	1.164554546	0.002994818	0.725923317	0.000936408
Glycerol	1.020884065	0.013774341	0.129249026	0.888726796	0.840242563	0.026590578	1.650553141	0.024084987	4.648109597	0.009663979	5.539744636	0.008092735	3.665579869	0.007524327	2.855269291	0.009971474
Guanosine monophosphate	-0.679436924	0.418997007	-1.775801759	0.048407206	-1.130690503	0.176850229	-1.42102395	0.136999676	0.33322694	0.594412179	1.429591775	0.286405049	-0.286514028	0.63405166	0.003819419	0.993536705
Glutathione	-3.544771504	0.139832649	-3.197381308	0.147852219	-3.136943099	0.092093618	-4.624616169	0.160907958	1.633814833	0.213933597	1.286424638	0.240715535	0.749065408	0.360717746	2.236738477	0.092997504
Glutathione disulfide	-2.682164931	0.153127548	-1.363899072	0.245197819	-2.249701295	0.110005371	-2.610850692	0.174696008	0.540622318	0.538354586	-0.777643542	0.450337964	0.476722253	0.532953637	0.83787165	0.216167002
Oxidized glutathione	-0.875362136	7.19E-05	-1.828870347	8.43E-05	-0.885979351	0.000136373	-1.97886951	0.002424614	1.08871114	0.000686386	2.042219351	0.001598712	0.308245136	0.009848871	1.401135295	0.003653014
L-Histidine	-1.11202445	0.146570974	-2.507594792	0.000263376	-0.527654226	0.279164588	-2.586747594	0.000173924	-2.614640021	0.00012136	-1.219069678	0.052756732	-2.958162976	1.93E-05	-0.899069608	0.007977778
Homocysteine	1.320815162	0.002162509	0.3564562	0.027834845	1.163305577	0.001166834	1.376900257	0.000110754	7.479729265	1.64E-06	8.444088226	0.000787603	6.350817607	0.002358747	6.137222926	0.001695534
Thiosulfuric acid	0.990811884	0.00975293	1.117811322	0.053011526	-0.168105481	0.765742375	1.076476279	0.005521795	-0.337753869	0.339819705	-0.464753307	0.207266152	-0.182278014	0.678910783	-1.426859774	0.008055605
