	400_vs_60k_in_HPLM_fc	400_vs_60k_in_HPLM_p	400_vs_60k_in_DMEM_fc	400_vs_60k_in_DMEM_p	400_vs_60k_in_HPLM_15mM_Glucose_fc	400_vs_60k_in_HPLM_15mM_Glucose_p	400_vs_60k_in_DMEM_15mM_Glucose_fc	400_vs_60k_in_DMEM_15mM_Glucose_p	60k_HPLM_vs_DMEM_fc	60k_HPLM_vs_DMEM_p	400_HPLM_vs_DMEM_fc	400_HPLM_vs_DMEM_p	60k_HPLM_vs_DMEM_15mM_Glucose_fc	60k_HPLM_vs_DMEM_15mM_Glucose_p	400_HPLM_vs_DMEM_15mM_Glucose_fc	400_HPLM_vs_DMEM_15mM_Glucose_p
SNAP23	-0.0481105165473069	0.0232369079351896	-0.0088142849818063	0.8949370696949602	0.0014755840778997	0.9476480577007074	-0.0257601598232422	0.0565672616371094	0.0844209872867992	0.2012540841410547	0.0451247557212984	0.3827572462347723	-0.0194204812923382	0.3343646607442772	0.0078152626088038	0.6626609325717918
HAX1	-0.0012774802488193	0.9380544856165456	-0.0112506977548612	0.4564467065229927	0.020437720888443	0.4300564925206576	-0.0552435246859554	0.077147376477586	0.026751133673781	0.1772536664400297	0.036724351179823	0.0637211502403559	0.0041765651431308	0.8618143196147384	0.0798578107175293	0.0286559353912423
GTPBP1	0.019941906464523	0.3394307481001293	0.0211277680111906	0.2936830425926463	0.060336606394516	0.3974865472877049	0.0168741658423781	0.1552975689324204	-0.0523579418218587	0.061247505955795	-0.0535438033685263	0.0492116190355252	-0.0985867609598659	0.2165928016052806	-0.0551243204077282	0.0398143277104276
STXBP3	-0.0118091387686096	0.5259097567558022	0.0122025163134723	0.1928988638297266	0.0060562570509012	0.5019192643981276	0.0074120164837647	0.2037816190500765	0.0080115531473983	0.3021151014945302	-0.0160001019346836	0.4074485486428277	-0.0096228694917213	0.2812809251674803	-0.0109786289245844	0.1539369690618306
C11ORF58	-0.0246623262973283	0.2732811988091128	-0.0135480850003604	0.528504542019973	0.0374753015036209	0.0759708540213204	0.0140197874596326	0.3577665346366681	-0.0121582947008026	0.4459684927908085	-0.0232725359977703	0.3678124047883933	-0.0223297939407173	0.2176226734401129	0.001125720103271	0.9348316222912748
RAB27B	0.0783087782601045	0.0058700960451287	0.0237926482357075	0.3087660523573892	0.0149098706503089	0.7097135136849756	0.0331974170922316	0.5200588762387889	-0.0357742004763694	0.0587920153951773	0.0187419295480275	0.3771176970947101	-0.0102004387213796	0.8436180383086992	-0.0284879851633023	0.4627802837387369
AP3B1	0.0205360112382975	0.5996352403845389	0.040049193455874	0.0841191431697019	-0.0197255406426819	0.7485054809248834	0.0123477936536884	0.3022780686085663	-0.0620055068327551	0.1892720032308823	-0.0815186890503315	0.0124040965983357	-0.0739456100369822	0.2760214265529789	-0.1060189443333528	0.0188812239647072
LGALS8	-0.0038582311825021	0.8666387977977433	0.047178656626633	0.5286714381322996	0.0339502900829298	0.084536337863772	-0.0473481957931745	0.4744015249637037	0.0116319974695057	0.8730755170931048	-0.0394048903396294	0.0847505832335608	-0.042220070371758	0.0518666450850789	0.0390784155043462	0.5474937495135603
SUPT5H	0.0449411356230444	0.0245846893613617	0.0420850699865891	0.1104114331382735	-0.0002199457457863	0.9919312006772336	-0.0069626158698869	0.8300146021929726	-0.0013933805731927	0.9471820891578726	0.0014626850632625	0.9151828884273494	-0.0017967599759004	0.9271962492034822	0.0049459101482002	0.8824388768580592
HIP1	-0.0061713551843412	0.8246337628630831	-0.0049311969107418	0.5577859280497992	-0.0061366961844883	0.8709731294061555	-0.0222119325946125	0.3836753037344809	0.068030297217874	0.0972092941359324	0.0667901389442746	0.0090192944646976	0.0431455976087885	0.3373695612471643	0.0592208340189127	0.0519847246167208
