Protein	Gene	PROTEIN_ORIGINAL	x400x15-1	x400x15-2	x400x15-3	x400x5-1	x400x5-2	x400x5-3	x400xH15-1	x400xH15-2	x400xH15-3	x400xH5-1	x400xH5-2	x400xH5-3	x60kx15-1	x60kx15-2	x60kx15-3	x60kx5-1	x60kx5-2	x60kx5-3	x60kxH15-1	x60kxH15-2	x60kxH15-3	x60kxH5-1	x60kxH5-2	x60kxH5-3
Q9P2K8	EIF2AK4	Q9P2K8	14.21971257	13.27402724	14.36125315	14.17444003	14.07619192	13.91191818	14.3163739	13.99602349	14.08427613	14.42350981	14.15098698	14.40672627	14.42963003	14.08113975	14.29832792	14.17092285	13.14975892	14.33889413	13.97511738	13.3504506	14.60027469	14.07809652	14.14838878	14.20253199
Q9P2N5	RBM27	Q9P2N5	15.12275	14.98972767	14.95301946	14.67077456	15.13974353	15.00600889	14.92568285	14.92281291	14.67263362	14.87211412	14.82383011	14.7821531	14.87273742	14.68476242	14.81482409	15.2597116	14.94279217	14.66272741	14.71144604	14.8211217	14.84900315	14.90932809	14.87295093	14.98845772
Q9P2N5	RBM27	Q9P2N5;Q5T8P6	9.425049641	15.65719658	14.94182894	14.85594191	12.22336155	15.55053032	13.61428108	14.99928968	12.7308917	14.13234487	12.52478325	12.94870196	15.39466134	15.34682923	14.09155015	12.44023543	15.60114403	12.60989893	NA	12.1404093	15.29266052	12.73308484	15.32566949	12.72984939
Q9P2R3	ANKFY1	Q9P2R3	14.58667271	15.06287506	14.92807529	14.66305678	14.88170996	14.71534263	14.37764592	13.79551823	13.72252948	14.75246632	14.92745615	14.5724226	14.49626859	14.52145884	14.42128307	14.50232387	13.93119158	14.59837717	13.92434071	14.09410333	14.48689324	14.51366338	14.31445299	14.53242915
Q9P2R7	SUCLA2	Q9P2R7	16.09257118	16.1862887	15.85916095	16.29462755	15.636269	15.90720958	15.29793096	15.71661397	15.50720319	15.99012966	16.14888529	15.0806224	16.19556351	15.72494656	16.40840545	15.71308811	14.98238628	15.118879	15.55718844	15.62813203	15.69033689	15.45825868	15.13157248	15.01877323
Q9P2T1	GMPR2	Q9P2T1	16.05570808	16.12495528	15.96587208	16.03305838	15.78484065	15.78237933	15.69304321	15.78182426	16.08705303	15.88759968	16.12849584	15.19840417	15.86774419	16.00822398	15.85469696	16.13023982	15.88782407	15.88527121	16.14466896	15.426522	15.77528482	15.82847375	16.07130379	16.07079078
Q9P2W9	STX18	Q9P2W9	12.84539225	13.53063552	13.09796174	12.94597478	13.79535184	13.48154901	13.32134802	13.40467626	13.14747892	13.67980691	13.69409096	13.86881037	13.39355822	13.21111597	13.42781594	13.33302091	12.75000332	13.13486159	12.67877971	13.62652773	13.34424549	13.45076877	13.13191771	13.32802059
Q9P2X0	DPM3	Q9P2X0	18.99951298	15.00410225	NA	NA	NA	14.33905756	16.17014746	15.24663284	15.70491775	14.36198608	14.79980605	12.48051252	15.24828313	15.2088408	16.17524997	15.37338202	15.09975476	19.54412965	16.45222836	16.2701843	14.74939702	14.995004	NA	NA
Q9P2X3	IMPACT	Q9P2X3	14.35050914	14.50844581	12.90805295	13.98818237	14.83126247	14.49678792	14.03915044	14.55686019	13.83693511	14.53951219	14.94215369	15.71992199	14.22073011	13.7918156	14.0558967	14.66918957	14.31068345	13.65702229	14.36568826	13.01720426	13.96001329	14.49494935	13.99002258	14.70028992
Q9UBB4	ATXN10	Q9UBB4	16.17813809	16.06648916	16.1891554	16.61345465	16.17639264	15.82492855	15.11452042	15.1556837	15.87794355	15.29971073	15.58965562	15.09503637	16.23848598	15.7933114	16.19127084	15.61131369	15.67365479	16.08446125	15.44255557	15.40811221	15.67404911	14.29644393	15.47625636	15.20337144
