	HPLM-400_Exp1	HPLM-400_Exp2	HPLM-400_Exp3	HPLM-6k_Exp1	HPLM-6k_Exp2	HPLM-6k_Exp3	HPLM-60k_Exp1	HPLM-60k_Exp2	HPLM-60k_Exp3	HG-HPLM-400_Exp1	HG-HPLM-400_Exp2	HG-HPLM-400_Exp3	HG-HPLM-6k_Exp1	HG-HPLM-6k_Exp2	HG-HPLM-6k_Exp3	HG-HPLM-60k_Exp1	HG-HPLM-60k_Exp2	HG-HPLM-60k_Exp3	400_Exp1	400_Exp2	400_Exp3	6k_Exp1	6k_Exp2	6k_Exp3	60k_Exp1	60k_Exp2	60k_Exp3	HG-400_Exp1	HG-400_Exp2	HG-400_Exp3	HG-6k_Exp1	HG-6k_Exp2	HG-6k_Exp3	HG-60k_Exp1	HG-60k_Exp2	HG-60k_Exp3
phosphate 	7455477912	9977820986	8080496109	5112496382	5919047443	7006139848	7295311247	6833871522	7369877340	7884157464	6905734937	5706544191	7501285136	4249848547	7276440749	8924717576	8251497421	9436394046	6647740011	5976983658	5345884507	4753205926	4440530843	4247014190	4940166262	5561470750	4809769850	8493949836	8995455194	7335549445	6121600633	7012444587	6381153706	6207632474	6598677136	7735331861
Proline	13934498645	14275888055	13796537054	11678371594	11326453261	11016295381	9092705899	8887084070	9007567187	14959943967	15393191213	14623021741	10876795403	11178317204	10767275170	9434460886	9251251362	8873024325	887372718	738953139	700389495	647155460	558257020	555329765	486403526	537923878	475622729	1356539183	1278851668	1329445219	858874209	931374900	936161747	590615059	670081714	670747551
Proline	1598226827	1990924074	1744377986	1141830046	1052304473	1078262558	916548004	888460917	890013376	1984071170	2181124843	1850755356	1024977135	1023972751	964828715	876907008	872591536	860446849	81514913	41158218	31274829	23110900	22143536	22117673	16914208	18766102	17812939	137111626	98172589	97260828	45472480	45986243	47047580	33215069	32888309	33611702
NA			227948	0	0	0	0	0	0	0	0	0	148196	400594		564059	853582	242578			119775	125629	158982	115606	543667	299225	373594			119987	525878	683991	594980	1203524	1147815	982978
Ribose	195034	64176	80086	130733	144857	356706	0	0	0	260357	66931	376085		115791	78919	162392	66321	199774	286831		135429	0	0	0	48199	86528		103589	153892	308271	67999		888291	222870	55090	192461
NA		114256		211597	180435	128105	95554	267665	262787	0	0	0	271492	219639	186108	63451	304015	158147	0	0	0	0	0	0		111378		0	0	0	98192			93656		
S-Adenosylmethionine	25054565	26964751	25262655	29901541	28845130	28406023	31555384	29074542	29832182	20588659	19890715	23258505	24145292	23108400	23813026	26273681	23147533	24155457	43078417	33730072	35389042	41748641	35669975	37015643	18029989	20354211	18922551	28527109	24584945	30096850	23335363	24527034	30962878	15987949	20904287	22983398
NA	0	0	0	90329520	95294601	110871002	77180756	77343378	79022653	0	0	0	85058243	79363858	63618647	89723130	73416190	73281993	15485438	18921102	16746846	18497004	19012812	17853478	11110475	13703747	10722303	17585236	20562008	15367740	20919777	17999162	19853921	12528039	15263282	16141138
L-Serine	281940409	289868104	316152069	196603284	208930636	207942803	197013603	247150803	139987598	305006739	279382245	297321541	199170243	186584211	195480784	147658032	139514384	193362652	1091089602	896991375	781124061	716022254	668657680	887764453	1696445500	1883707027	1309575332	789661357	667459266	704189377	413062992	453795840	422562504	1330790417	1599997373	1623721855
Sorbitol	195559775	194286210	197030809	185873700	195522937	186134964	176644557	180829163	155952396	119468013	123349226	145628387	135473567	135960910	137123961	143530976	134762359	140670956	145902688	141832428	143471693	127855883	118929482	122513226	98208538	105825670	102362487	108535422	95692769	103944838	94478573	90185690	88975169	94729658	105522350	93651733
